config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	PARM	294232	26	0.0130	0.6182	0.4760	0.0157	0.0109	1621.8433	0.6948	
nsga5k2x	PARM	295856	42	0.0130	0.6608	0.4815	0.0124	0.0083	713.6953	0.6980	
nsga5k2x	PARM	293739	36	0.0130	0.7202	0.4764	0.0126	0.0088	2019.1130	0.7232	
nsga5k2x	PARM	295336	36	0.0000	0.6084	0.4803	0.0139	0.0090	1398.3422	0.6376	
nsga5k2x	PARM	294810	47	0.0000	0.5804	0.4725	0.0120	0.0091	1815.6443	0.6659	
nsga5k2x	PARM	295628	42	0.0260	0.7505	0.4787	0.0113	0.0093	1978.8246	0.7689	
nsga5k2x	PARM	295290	37	0.0130	0.6479	0.4671	0.0146	0.0091	1177.9219	0.6839	
nsga5k2x	PARM	288252	46	0.0000	0.6541	0.4371	0.0144	0.0133	2713.4708	0.7307	
nsga5k2x	PARM	244599	38	0.0130	0.6295	0.4982	0.0114	0.0084	434.4837	0.6188	
nsga5k2x	PSOA	505008	53	0.0000	0.7122	0.3644	0.0215	0.0085	4463.1977	0.7409	
nsga5k2x	PSOA	499856	57	0.0183	0.5694	0.3734	0.0143	0.0080	3780.0015	0.4857	
nsga5k2x	PSOA	433693	61	0.0092	0.6200	0.3922	0.0125	0.0069	2116.1732	0.6489	
nsga5k2x	PSOA	424024	48	0.0092	0.6366	0.3754	0.0192	0.0082	1734.6586	0.5860	
nsga5k2x	PSOA	410936	48	0.0275	0.6047	0.3993	0.0128	0.0072	119.6300	0.6481	
nsga5k2x	PSOA	408812	56	0.0092	0.7251	0.3837	0.0150	0.0077	4167.8056	0.7607	
nsga5k2x	PSOA	403551	51	0.0183	0.5736	0.3960	0.0139	0.0073	832.9529	0.5515	
nsga5k2x	PSOA	406964	45	0.0275	0.6665	0.3817	0.0174	0.0079	3138.8720	0.6485	
nsga5k2x	PSOA	406208	67	0.0275	0.6624	0.3770	0.0160	0.0081	4987.4309	0.6913	
nsga5k2x	PSOA	408476	54	0.0092	0.8176	0.3758	0.0282	0.0088	3038.3789	0.8838	
nsga5k2x	PSOA	409952	56	0.0550	0.6468	0.4136	0.0163	0.0060	1969.5146	0.6514	
nsga5k2x	PSOA	410322	62	0.0000	0.7526	0.3773	0.0179	0.0082	4091.2945	0.7561	
nsga5k2x	PSOA	410445	49	0.0367	0.5862	0.3957	0.0126	0.0065	2886.5797	0.5858	
nsga5k2x	PSOA	411035	50	0.0183	0.5882	0.3796	0.0141	0.0073	3021.8290	0.5792	
nsga5k2x	PSOA	407811	43	0.0367	0.5211	0.4042	0.0115	0.0056	2116.6219	0.5211	
nsga5k2x	PSOA	406230	47	0.0367	0.5198	0.3952	0.0121	0.0065	2123.3625	0.4666	
nsga5k2x	PSOA	422633	58	0.0092	0.6903	0.3624	0.0158	0.0099	5101.3386	0.6449	
nsga5k2x	PSOA	454113	50	0.0275	0.6209	0.3994	0.0141	0.0073	2747.9856	0.6669	
nsga5k2x	PSOA	431716	45	0.0275	0.7004	0.3973	0.0198	0.0076	3035.8355	0.6803	
nsga5k2x	PSOA	426083	50	0.0092	0.8374	0.3720	0.0202	0.0089	4535.1371	0.8232	
nsga5k2x	PSOA	422820	50	0.0275	0.8602	0.3708	0.0409	0.0082	3502.5450	0.9342	
nsga5k2x	PSOA	418861	47	0.0183	0.5855	0.3915	0.0145	0.0070	2878.9487	0.6440	
nsga5k2x	PSOA	420592	45	0.0275	0.6064	0.3769	0.0208	0.0079	4328.2252	0.6452	
nsga5k2x	PSOA	418572	52	0.0000	0.6948	0.3807	0.0169	0.0075	3277.9606	0.7350	
nsga5k2x	PSOA	393561	67	0.0000	0.8024	0.3809	0.0164	0.0079	2195.9067	0.8560	
nsga5k2x	PSOA	296242	50	0.0550	0.6695	0.3944	0.0124	0.0071	4049.3427	0.6619	
nsga5k2x	PSOA	295693	58	0.0092	0.6034	0.3806	0.0139	0.0073	4177.5464	0.6345	
nsga5k2x	PSOA	301464	62	0.0092	0.7609	0.3494	0.0224	0.0097	4702.9134	0.6458	
nsga5k2x	PSOA	296880	60	0.0183	0.7055	0.3908	0.0109	0.0067	3676.9579	0.6765	
nsga5k2x	PSOA	298171	62	0.0000	0.6157	0.3809	0.0151	0.0073	2925.7779	0.5089	
nsga5k2x	PSOA	297584	55	0.0275	0.7349	0.4044	0.0197	0.0070	2150.4982	0.5620	
nsga5k2x	PSOA	298339	46	0.0092	0.6049	0.3698	0.0158	0.0083	3685.0196	0.4993	
nsga5k2x	PSOA	301574	58	0.0000	0.7622	0.3733	0.0152	0.0091	3552.3509	0.7481	
nsga5k2x	PSOA	298921	52	0.0275	0.6499	0.3982	0.0134	0.0060	2565.2718	0.6279	
nsga5k2x	PSOA	298065	61	0.0275	0.5702	0.3937	0.0122	0.0062	3048.4536	0.5772	
nsga5k2x	PSOA	297829	45	0.0092	0.6590	0.4070	0.0099	0.0078	1530.9190	0.7375	
nsga5k2x	PSOA	296840	52	0.0092	0.6592	0.3657	0.0167	0.0085	3859.5823	0.6049	
nsga5k2x	PSOA	298116	48	0.0092	0.7523	0.3705	0.0200	0.0091	4853.2301	0.6892	
nsga5k2x	PSOA	297328	50	0.0275	0.7414	0.3877	0.0230	0.0074	4706.0053	0.7002	
nsga5k2x	PSOA	298769	50	0.0459	0.7302	0.4023	0.0142	0.0070	2053.1173	0.7099	
nsga5k2x	PSOA	298844	47	0.0275	0.7069	0.3901	0.0229	0.0082	2874.1856	0.7385	
nsga5k2x	PSOA	297723	54	0.0275	0.5951	0.3969	0.0129	0.0065	2201.1825	0.5399	
nsga5k2x	PSOA	298488	67	0.0092	0.7486	0.3588	0.0183	0.0090	4776.5150	0.7139	
nsga5k2x	PSOA	299657	47	0.0275	0.8703	0.3796	0.0447	0.0090	4434.8586	0.9042	
nsga5k2x	PSOA	297708	51	0.0092	0.6317	0.3764	0.0140	0.0081	4533.6599	0.6275	
nsga5k2x	PSOA	298171	43	0.0367	0.6125	0.3931	0.0149	0.0082	44.1000	0.6444	
nsga5k2x	PSOA	298483	38	0.0183	0.6802	0.4000	0.0180	0.0069	2853.8022	0.7119	
nsga5k2x	PSOA	286342	49	0.0092	0.5733	0.3782	0.0134	0.0075	3905.4969	0.5756	
nsga5k2x	PSOA	239227	50	0.0367	0.6434	0.3994	0.0129	0.0064	2639.5812	0.6441	
nsga5k2x	PSOA	196993	51	0.0275	0.6961	0.3826	0.0218	0.0084	3893.4544	0.6489	
nsga5k2x	WAMS	173183	86	0.0286	0.5677	0.5395	0.0040	0.0035	840.2194	0.6088	
nsga5k2x	WAMS	174352	82	0.0071	0.6409	0.5403	0.0041	0.0061	206.2218	0.7226	
nsga5k2x	WAMS	173794	88	0.0143	0.6077	0.5351	0.0048	0.0057	659.8912	0.7293	
nsga5k2x	WAMS	173818	89	0.0071	0.6842	0.5316	0.0052	0.0039	698.4096	0.6538	
nsga5k2x	WAMS	174640	87	0.0357	0.6722	0.5469	0.0038	0.0031	486.1141	0.6732	
nsga5k2x	WAMS	173811	101	0.0429	0.5916	0.5460	0.0035	0.0028	667.2360	0.6317	
nsga5k2x	WAMS	148919	78	0.0143	0.4973	0.5331	0.0053	0.0045	326.6121	0.5795	
nsga5k2x	WAMS	147450	91	0.0286	0.5597	0.5412	0.0042	0.0038	440.4247	0.6141	
nsga5k2x	WAMS	147355	87	0.0000	0.6096	0.5346	0.0042	0.0036	857.7592	0.6558	
