config	inst	time	count	best	spr	hv	gd	
rs5k	I5	51415	22	1	0.6900	0.4866	0.0205	
rs5k	I5	51307	27	1	0.7733	0.5080	0.0223	
rs5k	I5	51377	32	0	0.6862	0.4643	0.0195	
rs5k	I5	51541	26	0	0.5796	0.4792	0.0178	
rs5k	I5	51535	19	0	0.6352	0.4746	0.0219	
rs5k	I5	51451	27	1	0.5467	0.4593	0.0231	
rs5k	I5	51485	29	0	0.6555	0.4520	0.0234	
rs5k	I5	51437	24	2	0.7200	0.5029	0.0220	
rs5k	I5	51202	26	1	0.6567	0.5046	0.0140	
rs5k	I5	51307	26	0	0.5556	0.4543	0.0222	
rs5k	I5	51312	30	0	0.6648	0.4675	0.0195	
rs5k	I5	51378	29	0	0.7069	0.4542	0.0226	
rs5k	I5	51330	31	1	0.6868	0.4766	0.0201	
rs5k	I5	51378	21	2	0.6329	0.5096	0.0224	
rs5k	I5	51427	18	1	0.5251	0.5001	0.0182	
rs5k	I5	51386	24	3	0.6978	0.4879	0.0161	
rs5k	I5	51153	23	2	0.6207	0.5102	0.0153	
rs5k	I5	51305	29	0	0.8123	0.4584	0.0237	
rs5k	I5	51480	25	2	0.6082	0.5055	0.0212	
rs5k	I5	51311	24	2	0.8432	0.5241	0.0230	
rs5k	I5	51575	19	3	0.7322	0.5195	0.0213	
rs5k	I5	51341	17	1	0.7119	0.4709	0.0213	
rs5k	I5	51410	36	1	0.7517	0.4294	0.0245	
rs5k	I5	51288	25	1	0.7211	0.4813	0.0206	
rs5k	I5	51122	21	1	0.6218	0.4777	0.0232	
rs5k	I5	51273	22	1	0.5622	0.4705	0.0205	
rs5k	I5	51341	20	2	0.6453	0.5118	0.0217	
rs5k	I5	51452	22	2	0.6773	0.4990	0.0179	
rs5k	I5	51400	23	0	0.6448	0.4890	0.0228	
rs5k	I5	51420	27	1	0.7333	0.4828	0.0224	
rs5k	I5	51408	24	1	0.7016	0.4725	0.0197	
rs5k	I5	51507	23	0	0.6967	0.5030	0.0296	
rs5k	I5	51441	27	3	0.6704	0.4726	0.0220	
rs5k	I5	51321	24	1	0.7746	0.4915	0.0234	
rs5k	I5	51403	28	0	0.6516	0.4825	0.0211	
rs5k	I5	51541	30	0	0.6969	0.4632	0.0221	
rs5k	I5	51550	23	1	0.8207	0.4818	0.0349	
rs5k	I5	51329	20	0	0.5403	0.4727	0.0271	
rs5k	I5	51414	18	2	0.5317	0.4787	0.0238	
rs5k	I5	51410	27	0	0.7774	0.4641	0.0212	
rs5k	I5	51350	26	0	0.6241	0.4660	0.0233	
rs5k	I5	51575	21	0	0.7347	0.5032	0.0260	
rs5k	I5	55906	26	1	0.6857	0.4523	0.0252	
rs5k	I5	51701	25	1	0.6912	0.4698	0.0188	
rs5k	I5	51583	29	1	0.7543	0.4727	0.0196	
rs5k	I5	51576	26	2	0.7645	0.4900	0.0209	
rs5k	I5	51684	29	0	0.7979	0.4757	0.0203	
rs5k	I5	51713	29	1	0.6601	0.4736	0.0206	
rs5k	I5	51749	31	0	0.5714	0.4369	0.0205	
rs5k	I5	51800	29	1	0.6347	0.4649	0.0191	


rs10k	I0	88844	25	1	0.7301	0.3871	0.0469	
rs10k	I0	111227	23	0	0.6820	0.4308	0.0392	
rs10k	I0	110601	19	1	0.7209	0.4503	0.0379	
rs10k	I0	108792	22	1	0.5422	0.4421	0.0347	
rs10k	I0	108727	20	1	0.8854	0.4747	0.0431	
rs10k	I0	106828	20	0	0.5968	0.4231	0.0416	
rs10k	I0	107788	22	1	0.6396	0.4150	0.0825	
rs10k	I0	108020	19	2	0.6731	0.5070	0.0363	
rs10k	I0	105858	18	1	0.6331	0.4416	0.0398	
rs10k	I0	106191	17	1	0.5820	0.4531	0.0320	
rs10k	I0	107875	20	1	0.7061	0.4032	0.0499	
rs10k	I0	109375	19	0	0.6890	0.4277	0.0383	
rs10k	I0	107626	22	2	0.8535	0.4296	0.0464	
rs10k	I0	105423	21	1	0.6632	0.4480	0.0368	
rs10k	I0	106567	19	0	0.5145	0.4378	0.0371	
rs10k	I0	107282	26	0	0.7163	0.4183	0.0382	
rs10k	I0	107966	23	0	0.7813	0.3872	0.0496	
rs10k	I0	109961	20	2	0.8097	0.5171	0.0832	
rs10k	I0	110750	14	2	0.6721	0.5385	0.0312	
rs10k	I0	110349	18	1	0.6497	0.5047	0.0388	
rs10k	I0	110084	18	0	0.6723	0.3998	0.0394	
rs10k	I0	104585	25	0	0.8239	0.3880	0.0438	
rs10k	I0	105029	21	1	0.7146	0.4064	0.0517	
rs10k	I0	109641	18	1	0.6413	0.4223	0.0384	
rs10k	I0	109175	24	1	0.7834	0.3708	0.0500	
rs10k	I0	106874	21	0	0.8188	0.3927	0.0535	
rs10k	I0	106502	24	0	0.7723	0.3963	0.0487	
rs10k	I0	107511	18	0	0.6842	0.4370	0.0461	
rs10k	I0	109143	17	2	0.7692	0.4901	0.0396	
rs10k	I0	108448	18	0	0.8322	0.4644	0.0554	
rs10k	I0	107781	16	1	0.6721	0.4501	0.0423	
rs10k	I0	107494	19	1	0.7762	0.4598	0.0370	
rs10k	I0	105953	19	0	0.7772	0.3749	0.0500	
rs10k	I0	109588	18	0	0.6206	0.4413	0.0418	
rs10k	I0	109404	21	2	0.7275	0.3834	0.0494	
rs10k	I0	110163	18	0	0.5495	0.4397	0.0449	
rs10k	I0	110060	19	0	0.7157	0.4294	0.0507	
rs10k	I0	108467	17	1	0.7279	0.4666	0.0734	
rs10k	I0	108284	21	0	0.7482	0.3499	0.0510	
rs10k	I0	103373	22	0	0.7348	0.4050	0.0448	
rs10k	I0	110122	21	0	0.5821	0.4109	0.0366	
rs10k	I0	111043	18	1	0.6815	0.4406	0.0370	
rs10k	I0	110122	17	1	0.7280	0.4575	0.0357	
rs10k	I0	108476	17	1	0.6689	0.3929	0.0414	
rs10k	I0	108771	20	0	0.7583	0.4357	0.0381	
rs10k	I0	108887	19	0	0.6506	0.4115	0.0418	
rs10k	I0	108679	24	0	0.6963	0.3775	0.0398	
rs10k	I0	109505	21	2	0.7341	0.4677	0.0457	
rs10k	I0	109465	15	1	0.7740	0.5166	0.0504	
rs10k	I0	109541	15	0	0.4596	0.4219	0.0357	
rs10k	I1	633519	29	4	0.6482	0.5440	0.0163	
rs10k	I1	566673	31	1	0.6165	0.4856	0.0178	
rs10k	I1	557300	30	1	0.5960	0.4996	0.0220	
rs10k	I1	554499	38	0	0.7521	0.4735	0.0204	
rs10k	I1	554189	29	3	0.7592	0.5072	0.0193	
rs10k	I1	553682	32	1	0.6639	0.5067	0.0174	
rs10k	I1	554531	33	1	0.6597	0.5383	0.0198	
rs10k	I1	553802	35	2	0.6801	0.5242	0.0140	
rs10k	I1	554742	31	2	0.7559	0.5265	0.0162	
rs10k	I1	556524	29	1	0.6202	0.4834	0.0160	
