inst	noh	mks	cst
I3	114.982	535.3	323504.1212
I3	180.5949	482.3	337240.3002
I3	16.6945	634.2	314093.5779
I3	96.7808	551.7	320913.8794
I3	167.0868	489	332521.659
I3	103.9442	543.9	321335.4983
I3	142.8688	507.6	327008.7788
I3	133.1445	516.3	325348.5736
I3	147.3618	505.2	328716.3946
I3	116.2167	534.5	323912.1349
I3	16.2185	635.2	314277.6584
I3	77.6055	571.1	319311.5977
I3	119.8938	530.9	324398.1091
I3	24.2285	625.5	314308.5182
I3	130.2864	521.3	325845.6881
I3	21.99	626.8	313600.1889
I3	54.2322	594.2	316555.6529
I3	140.1704	511.3	327211.987
I3	11.131	638.5	312930.8666
I3	41.4097	608.5	316056.5722
I3	82.9414	567.2	320091.5482
I3	17.1023	633.2	313832.8255
I3	38.2692	610.6	315227.0691
I3	101.1647	548.7	321941.4209
I3	20.385	628.1	313236.0725
I3	43.65	604.4	315265.4831
I3	30.0772	618.4	314273.2931
I3	95.8867	553.4	321463.5357
I3	74.263	574	318586.6748
I3	38.6614	610.3	315244.4653
I3	78.4874	570.5	319404.8613
I3	71.0236	578	318797.698
I3	113.612	537.1	323832.8776
I3	52.541	596.3	316834.1431
I3	113.2744	537.5	323706.4443
I3	57.5376	591.4	317091.2106
I3	89.6542	559.5	320337.0292
I3	132.5954	518.7	326442.7595
I3	65.5224	584	318163.3452
I3	88.3187	561.8	320596.4257
I3	132.8543	518.3	326074.8521
I3	158.1633	496.2	330649.3273
I3	156.2346	497	329708.5924
I3	148.0913	501.3	327180.5775
I3	88.8803	560.8	320760.9537
I3	117.2465	531.9	323573.7625
I3	189.4873	478.6	340841.6629
I3	193.4494	475.8	341781.0199
I3	13.3653	635.4	312732.531
I3	169.3714	486.4	332779.5442
I3	84.4547	562.9	319047.2957
I3	121.8024	528.2	324435.437
I3	162.3236	493.3	331628.7527
I3	147.6211	504.4	328225.5944
I3	140.7797	507.7	325947.0989
I3	108.2893	541.3	322502.8416
I3	156.1515	496.9	329733.2968
I3	7.3817	653.2	317844.1849
I3	121.6512	528.9	324789.6519
I3	146.5084	505.5	328246.2584
I3	50.3469	599.3	316715.2398
I3	117.0057	532.9	323694.8016
I3	67.3018	582.3	318310.5032
I3	24.5748	625.1	314344.7853
I3	66.6113	583.3	318380.8893
I3	113.6845	536.1	323348.2315
I3	161.9054	493.5	331654.741
I3	31.1635	617.8	314635.9645
I3	123.5531	525.8	324360.0339
I3	112.7607	538	323903.7448
I3	87.8561	562.2	320572.0262
I3	56.0278	592.9	316921.1355
I3	159.4491	496.1	331334.9002
I3	159.6893	496	331521.7722
I3	114.8819	535.6	323671.4276
I3	50.8743	597.2	315994.2923
I3	97.6846	551.2	321218.1513
I3	17.9828	631.5	313539.9409
I3	22.7182	626.7	313955.5998
I3	113.1924	537.5	324149.9542
I3	80.1931	569	319370.0936
I3	54.2096	596.1	317759.8286
I3	39.679	609	315212.8569
I3	74.0519	575.4	318896.9233
I3	70.053	578.5	318450.4966
I3	118.7557	531	323778.153
I3	45.178	602.9	315452.5904
I3	17.0587	633.8	314122.1
I3	20.1729	628.5	313342.947
I3	29.5686	619.8	314639.7431
I3	153.6241	500.5	330007.8
I3	36.1201	613.5	315330.0934
I3	10.2083	643.4	314736.9478
I3	107.9716	541.4	322565.0532
I3	100.7402	550	322700.7012
I3	83.9515	566.3	320838.5171
I3	64.2163	585	317827.4649
I3	173.3507	484	333871.0598
I3	110.1333	539.9	323229.3825
I3	178.322	483.4	336488.7374
I3	25.2469	624.3	314294.7435
I3	131.9786	519.3	325925.8033
I3	18.6493	631.1	313771.63
I3	59.4426	589.8	317536.9647
I3	7.2619	667.6	324650.258
I3	97.4941	551.5	321408.2726
I3	123.4498	527.7	325068.2446
I3	117.8297	531.6	323656.6683
I3	69.6791	579.9	318611.738
I3	76.9161	571.6	318739.1848
I3	92.6146	556.7	321052.0782
I3	180.9224	481.2	336935.6881
I3	94.9454	554.9	321096.6273
I3	41.7417	607.2	315759.1381
I3	57.8446	591.1	317128.9253
I3	91.7592	557	320409.437
I3	155.8257	497.2	329779.2599
I3	105.7483	543.5	321955.6863
I3	38.3234	610.6	315211.8983
I3	63.0594	586.5	317943.0902
I3	136.5591	514	326159.9436
I3	39.0747	609.8	315292.5052
I3	96.4085	552.6	321222.3685
I3	159.7982	494.6	330756.8715
I3	62.6883	587.5	318142.6025
I3	33.5803	616.2	315149.5701
I3	138.0964	513.9	327280.8619
I3	36.3243	613.3	315347.9358
I3	69.8743	578.9	318367.0267
I3	115.4495	534.6	323601.3432
I3	153.5352	500.5	330092.4617
I3	56.7253	592.2	317039.9955
I3	110.7649	539.7	323524.6473
I3	130.3666	520.1	325399.802
I3	95.4148	553.9	321112.1925
I3	68.9531	580.6	318500.7742
I3	40.786	608.6	315874.3923
I3	11.0643	638.7	313003.3304
I3	26.775	620.7	313420.8579
I3	34.2991	614.3	314672.8442
I3	138.7492	512.3	326712.154
I3	135.4353	515.2	326130.5765
I3	65.5038	584.5	318328.9354
I3	35.843	614.2	315562.157
I3	99.2795	551	322147.4959
I3	68.3598	581.4	318515.214
I3	108.7915	540.9	322786.699
I3	96.3914	553.6	321308.727
I3	131.9919	519	325875.8039
I3	79.4052	569.7	319527.1948
I3	95.0895	554.6	321182.4385
I3	84.3136	566.2	320414.6972
I3	19.2113	630.3	313654.6145
I3	41.2109	608.5	316100.3774
I3	83.5209	566.6	320166.0957
I3	138.6749	512.9	326984.9656
I3	68.7618	580.7	318439.8517
I3	10.9059	639.1	313074.2544
I3	67.2653	582.3	318547.3182
I3	116.447	533.3	323779.309
I3	12.5334	637.2	313138.0815
I3	152.8058	501.1	329797.3291
I3	48.0428	599.6	315554.3315
