inst	noh	mks	cst
I5	37.0409	133.6	85715.1076
I5	4.6352	158.5	78787.416
I5	19.6314	144.4	80749.2378
I5	9.6907	153.4	79242.5382
I5	14.1867	149.1	79827.3933
I5	6.8087	155.8	78744.3311
I5	33.0933	135.4	84261.8505
I5	7.9764	155.1	79077.7517
I5	10.2822	152.4	79116.3831
I5	13.7769	149.4	79726.0476
I5	12.3761	150.8	79543.7074
I5	14.2064	149.1	79781.8396
I5	14.8989	148.3	79891.476
I5	29.0038	137.3	82821.2172
I5	24.8016	140.6	81949.2468
I5	18.2057	145.5	80472.9849
I5	17.8275	146	80449.5276
I5	23.1244	141.7	81518.8194
I5	23.6968	141.4	81668.3381
I5	30.6756	136.7	83478.7692
I5	16.7805	146.6	80201.9638
I5	8.644	153.9	78874.2141
I5	24.0429	140.8	81576.7707
I5	17.9133	145.6	80295.7363
I5	24.6009	140.7	81882.0924
I5	13.3821	149.7	79620.817
I5	2.3381	160.8	78563.2459
I5	40.8087	132.1	87278.4774
I5	12.4441	150.7	79581.9492
I5	4.3046	158.6	78610.9785
I5	31.4956	136.2	83726.5852
I5	10.2013	152.6	79220.5685
I5	26.6758	139.2	82373.8413
I5	33.8515	134.9	84487.3193
I5	28.6013	137.7	82747.9622
I5	26.3294	139.4	82308.851
I5	8.4517	154.4	79003.9187
I5	41.899	132	87861.3805
I5	31.7502	136.1	83810.2365
I5	11.365	151.6	79387.6885
I5	22.3202	142.3	81304.9966
I5	21.8822	142.6	81206.7288
I5	40.4296	132.4	87168.1344
I5	17.6623	146.2	80431.0428
I5	39.7512	132.7	86922.9137
I5	3.3048	159.4	78418.0211
I5	38.29	133.2	86250.6835
I5	5.2214	157.8	78802.6531
I5	17.6907	146.1	80423.9093
I5	16.188	147.2	80109.6647
I5	15.9069	147.4	80037.1061
I5	14.0017	149.2	79804.9169
I5	26.4021	139.3	82220.9347
I5	16.4226	146.8	80039.2315
I5	31.2847	136.5	83746.2409
I5	32.6148	135.7	84130.5437
I5	29.8574	137.2	83230.9042
I5	20.6085	143.3	80821.8352
I5	3.1648	159.7	78479.7044
I5	24.8201	140.6	81947.6176
I5	34.0116	134.8	84548.8502
I5	23.3326	141.5	81544.3032
I5	24.8668	140.4	81886.5557
I5	8.6231	154.2	79031.8956
I5	4.8009	158.2	78750.4468
I5	28.3854	138	82727.7898
I5	26.0119	139.7	82177.7303
I5	17.8338	145.9	80468.6635
I5	14.9775	148.2	79889.636
I5	23.8395	141.1	81616.6346
I5	17.1026	146.3	80208.3991
I5	18.5122	144.9	80377.087
I5	37.7643	133.3	86027.3909
I5	30.0368	137.1	83313.9966
I5	9.825	153.3	79273.0604
